name,type,lat,lon,nearby_conflict_date
Espace pour enfant,kindergarten,16.7687279,-3.002026,1991-12-12 00:00:00.000
Unnamed School,school,16.1925958,-0.0372962,2013-01-26 00:00:00.000
Ecole,school,14.355792,-3.6120263,2023-08-09 00:00:00.000
Mamadou Tolo 1 er Cycle,school,14.3509095,-3.6056399,2023-08-09 00:00:00.000
Lycée,school,16.2675208,-0.0433404,1994-11-13 00:00:00.000
Ecole Bahadou,school,16.7690024,-3.004178,1991-12-12 00:00:00.000
KATI Camp D,school,12.7406299,-8.0728803,2012-04-30 00:00:00.000
EL MOHAMADIYATOU:Kirané [1er C],school,15.4111,-10.2232833,2021-01-04 00:00:00.000
EL MOHAMADIYATOU:Kirané [2ème C],school,15.4111,-10.2232833,2021-01-04 00:00:00.000
KIRANE [1er C]ycle,school,15.4111,-10.2232833,2021-01-04 00:00:00.000
KIRANE [1er C] B,school,15.4111,-10.2232833,2021-01-04 00:00:00.000
KIRANE [1er C]ycle C,school,15.4111,-10.2232833,2021-01-04 00:00:00.000
KIRANE [2ème C],school,15.4111,-10.2232833,2021-01-04 00:00:00.000
AGHALY AG BABACAR,school,20.0189823,2.2597051,1990-09-03 00:00:00.000
Ecole primaire,school,13.165236,-6.5209082,2018-04-02 00:00:00.000
Lycée Yana Maïga de Gao,school,16.2727182,-0.047003,1994-11-13 00:00:00.000
2eme Cycle,school,11.1211913,-5.3645656,2021-03-01 00:00:00.000
MEDERSA ANCARDINE DJENNEDAGA [2ème C],school,14.5355306,-4.0950232,2012-04-01 00:00:00.000
GUIRE,school,14.6416962,-6.6949493,2024-11-05 00:00:00.000
GUIRE [2ème C],school,14.6416694,-6.6953731,2024-11-05 00:00:00.000
KEIBANE SONINKE,school,15.2497284,-7.2694195,2023-06-11 00:00:00.000
MED communautaire KEÏBANE SONINKE,school,15.2506116,-7.2700819,2023-06-11 00:00:00.000
MED DIAFAR BEN MAHDY,school,14.6417445,-6.6954751,2024-11-05 00:00:00.000
MEDERSA KEIBANE,school,15.2432178,-7.2707082,2023-06-11 00:00:00.000
A.P.E.S.,school,14.5355177,-4.0950366,2012-04-01 00:00:00.000
ALMADARASSATOU ALPHA NOUHOU TAHER,school,14.5355151,-4.0950453,2012-04-01 00:00:00.000
ALMAMY SIDIBE,school,14.5355014,-4.0949903,2012-04-01 00:00:00.000
ASSADIATOU [1er C],school,14.5355235,-4.095056,2012-04-01 00:00:00.000
ASSADIATOU [2ème C],school,14.5355196,-4.0950259,2012-04-01 00:00:00.000
BOCARI OUOLOGUEM C,school,14.52635,-4.09076,2012-04-01 00:00:00.000
BOCARI OUOLOGUEM D,school,14.52632,-4.09038,2012-04-01 00:00:00.000
BOCARI OUOLOGUEM SC I,school,14.5266678,-4.0908344,2012-04-01 00:00:00.000
BOCARI OUOLOGUEM SC II,school,14.5266542,-4.0908793,2012-04-01 00:00:00.000
BOCARI OUOLOGUEM SC III SEVARE,school,14.5266412,-4.0908746,2012-04-01 00:00:00.000
BOCARI OUOLOGUEM E,school,14.5266275,-4.0908626,2012-04-01 00:00:00.000
COMPLEXE SCOLAIRE LASSINE SAMASSEKOU,school,14.5355177,-4.0950654,2012-04-01 00:00:00.000
DEN TANGASO,school,14.5354911,-4.0950446,2012-04-01 00:00:00.000
DIONDIORI [2ème C],school,14.61,-4.775,2018-03-29 00:00:00.000
EAT [1er C],school,14.5327,-4.09711,2012-04-01 00:00:00.000
EAT [1er C] ''B'',school,14.5326792,-4.0971073,2012-04-01 00:00:00.000
École ARMEE de TERRE [2ème C],school,14.5355183,-4.0950393,2012-04-01 00:00:00.000
École privée SOFARA [1er C],school,14.5354787,-4.095042,2012-04-01 00:00:00.000
École privée SOFARA [2ème C],school,14.535517,-4.0950373,2012-04-01 00:00:00.000
EXCELLENCE CHEICK A T DIARRA [1er C],school,14.5355066,-4.0950393,2012-04-01 00:00:00.000
EXCELLENCE CHEICK A T DIARRA [2ème C],school,14.5355417,-4.0950748,2012-04-01 00:00:00.000
FATOMA A,school,14.6100028,-4.060141,2017-11-06 00:00:00.000
GEORGES BERTSCH [1er C],school,14.5355339,-4.0950292,2012-04-01 00:00:00.000
GEORGES BERTSCH [2ème C],school,14.5354962,-4.0950359,2012-04-01 00:00:00.000
GROUPE SCOLAIRE CISSE,school,14.5354995,-4.095048,2012-04-01 00:00:00.000
HADARATOU ISLAM [1er C],school,14.5354865,-4.0950487,2012-04-01 00:00:00.000
HADARATOU ISLAM [2ème C],school,14.5355268,-4.0950681,2012-04-01 00:00:00.000
IDRISSA SOW C,school,14.535504,-4.0950379,2012-04-01 00:00:00.000
IDRISSA SOW [2ème C],school,14.5354924,-4.0949964,2012-04-01 00:00:00.000
IHYAOULOUMIDINE [1er C],school,14.53553,-4.09505,2012-04-01 00:00:00.000
IHYAOULOUMIDINE [2ème C],school,14.5354937,-4.0949736,2012-04-01 00:00:00.000
JIGIYA,school,14.5354995,-4.0950332,2012-04-01 00:00:00.000
KADIAL,school,14.6505294,-4.4391694,2018-06-09 00:00:00.000
LES COLOMBES de VENISE,school,14.5355164,-4.094989,2012-04-01 00:00:00.000
LES FLAMBOYANTS [1er C],school,14.5355294,-4.0950379,2012-04-01 00:00:00.000
LES FLAMBOYANTS [2ème C],school,14.535504,-4.0950393,2012-04-01 00:00:00.000
LES MAINS UNIES,school,14.5354716,-4.0950413,2012-04-01 00:00:00.000
BAMBA,school,14.5852875,-3.0803644,2019-06-15 00:00:00.000
BAMBA II,school,14.58507,-3.08051,2019-06-15 00:00:00.000
BANAI,school,14.61,-1.866,2023-02-16 00:00:00.000
BANGUEL TOUPE,school,14.66,-3.658,2024-12-20 00:00:00.000
DOUNA,school,14.645241,-1.7375066,2022-05-06 00:00:00.000
GONDOGOUROU,school,14.56857,-2.89948,2019-02-26 00:00:00.000
MONDORO [1er C],school,14.67,-1.948,2017-05-02 00:00:00.000
MONDORO [2ème C],school,14.67,-1.948,2017-05-02 00:00:00.000
NANGALADOUMBO,school,14.66,-3.277,2022-09-13 00:00:00.000
PIRON,school,14.59,-3.841,2021-03-27 00:00:00.000
TAN-COULLE,school,14.7152,-3.01238,2024-03-30 00:00:00.000
THOMAS GUIROU DIANKABOU,school,14.5838384,-3.0801838,2019-06-15 00:00:00.000
THY,school,14.6,-4.064,2023-07-02 00:00:00.000
YANGASSADIOU [1er C],school,14.65195,-1.77564,2020-06-03 00:00:00.000
YANGASSADIOU SC,school,14.65195,-1.77564,2020-06-03 00:00:00.000
