id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
12993,MLI-1990-1-96-1,1990,true,Clear,1,372,372,Mali: Azawad,800,800,Government of Mali - MPA,72,72,Government of Mali,521,521,MPA,-1,"The Peace of Timbuktu"", 56, Humphreys and ag Mohamed, ""Senegal & Mali"", 3",,,,,1,Tidarmene town,Tidarmene town,Gao region,Menaka cercle,16.615833,2.420000,POINT (2.42 16.615833),153725,Mali,432,Africa,1,1,1990-06-28 00:00:00.000,1990-06-28 00:00:00.000,4,0,0,0,4,4,4,432,
13080,MLI-1990-1-96-2,1990,true,Clear,1,372,372,Mali: Azawad,800,800,Government of Mali - MPA,72,72,Government of Mali,521,521,MPA,-1,"The Peace of Timbuktu"", 56, ""Historical Dictionary of Mali"", xliv, Humphreys and ag Mohamed, ""Senegal & Mali"", 3",,,,,1,Menaka town,Menaka town,Gao region,Menaka cercle,15.918200,2.402200,POINT (2.4022 15.9182),152285,Mali,432,Africa,1,1,1990-06-28 00:00:00.000,1990-06-28 00:00:00.000,4,0,0,0,4,14,4,432,
284121,MLI-1990-1-800-0,1990,true,Clear,1,372,372,Mali: Azawad,800,800,Government of Mali - MPA,72,72,Government of Mali,521,521,MPA,1,"""Disputed Desert,2010-12-31,Chapter 6. Rebellion: al-Jebha""",Disputed Desert,2010-12-31,Chapter 6. Rebellion: al-Jebha,,5,Northern Mali,Northern Mali,,,20.000000,-3.000000,POINT (-3 20),158755,Mali,432,Africa,2,5,1990-06-28 00:00:00.000,1990-12-31 00:00:00.000,238,12,0,0,250,250,250,432,
11879,MLI-1990-1-96-3,1990,true,Clear,1,372,372,Mali: Azawad,800,800,Government of Mali - MPA,72,72,Government of Mali,521,521,MPA,-1,"Lecocq, Jean Sebastian (2002) That Desert is Our Country Tuareg Rebellions and Competing Nationalisms in Contemporary Mali (1946-1996), Universiteit van Amsterdam, 232",,,,,1,Ti-n-Essako town,Ti-n-Essako town,Gao region,Menaka cercle,17.583333,2.866667,POINT (2.866667 17.583333),155166,Mali,432,Africa,1,1,1990-07-02 00:00:00.000,1990-07-02 00:00:00.000,3,1,0,0,4,4,4,432,
13114,MLI-1990-1-96-5,1990,true,Clear,1,372,372,Mali: Azawad,800,800,Government of Mali - MPA,72,72,Government of Mali,521,521,MPA,-1,"Lecocq, Jean Sebastian (2002) That Desert is Our Country Tuareg Rebellions and Competing Nationalisms in Contemporary Mali (1946-1996), Universiteit van Amsterdam, 235",,,,,1,Tayekaren camp,Tayekaren camp,Gao region,Menaka cercle,16.485833,3.566944,POINT (3.566944 16.485833),153008,Mali,432,Africa,1,2,1990-07-17 00:00:00.000,1990-07-21 00:00:00.000,40,0,0,0,40,40,40,432,
11880,MLI-1990-1-96-6,1990,true,Clear,1,372,372,Mali: Azawad,800,800,Government of Mali - MPA,72,72,Government of Mali,521,521,MPA,-1,"Lecocq, Jean Sebastian (2002) That Desert is Our Country Tuareg Rebellions and Competing Nationalisms in Contemporary Mali (1946-1996), Universiteit van Amsterdam, 235",,,,,1,Tayekaren camp,Tayekaren camp,Gao region,Menaka cercle,16.485833,3.566944,POINT (3.566944 16.485833),153008,Mali,432,Africa,2,4,1990-07-20 00:00:00.000,1990-08-10 00:00:00.000,100,0,0,0,100,100,100,432,
13085,MLI-1990-1-96-15,1990,true,Clear,1,372,372,Mali: Azawad,800,800,Government of Mali - MPA,72,72,Government of Mali,521,521,MPA,-1,"http://www.unhcr.org/refworld/topic,463af2212,469f2e792,469f38c2104,0.html, Lecocq 236",,,,,2,Bouressa town,"Bouressa town (near, Toximine, Mount Tigharghar, Kidal )",Gao region,Abeïbara cercle,20.013611,2.263056,POINT (2.263056 20.013611),158765,Mali,432,Africa,1,2,1990-09-03 00:00:00.000,1990-09-04 00:00:00.000,40,15,0,0,55,55,55,432,
13084,MLI-1991-1-97-2,1991,false,Clear,1,372,372,Mali: Azawad,801,801,Government of Mali - FIAA,72,72,Government of Mali,522,522,FIAA,-1,"Humphreys and ag Mohamed, ""Senegal & Mali"", 24,",,,,,1,Tombouctou town,Tombouctou town,Tombouctou region,Tombouctou cercle,16.770456,-3.005588,POINT (-3.005588 16.770456),153714,Mali,432,Africa,1,1,1991-12-12 00:00:00.000,1991-12-12 00:00:00.000,0,9,0,3,12,12,12,432,
12985,MLI-1994-1-97-1,1994,true,Clear,1,372,372,Mali: Azawad,801,801,Government of Mali - FIAA,72,72,Government of Mali,522,522,FIAA,-1,"A Peace of Timbuktu, 72, AI,(1994): Mali, Ethnic conflict and killings of civilians (for date), Tor A. Benjaminsen ""SUPPLY-INDUCED SCARCITY"", 831",,,,,2,Fafa town,Fafa town (near),Gao region,Ansongo cercle,15.317700,0.744600,POINT (0.7446 15.3177),151562,Mali,432,Africa,1,1,1994-05-30 00:00:00.000,1994-05-30 00:00:00.000,0,3,0,0,3,3,3,432,
13156,MLI-1994-1-97-2,1994,true,Clear,1,372,372,Mali: Azawad,801,801,Government of Mali - FIAA,72,72,Government of Mali,522,522,FIAA,-1,"AI,(1994): Mali, Ethnic conflict and killings of civilians",,,,,1,Niafunke town,Niafunke town,Tombouctou region,Niafunke cercle,15.932200,-3.990600,POINT (-3.9906 15.9322),152273,Mali,432,Africa,1,1,1994-06-08 00:00:00.000,1994-06-08 00:00:00.000,1,0,0,0,1,1,1,432,
