name,type,lat,lon
Unnamed School,kindergarten,12.6794229,-7.9391538
Jardin d'enfant le grénier de la reussite,kindergarten,12.5986518,-7.9268788
Espace pour enfant,kindergarten,16.7687279,-3.002026
Unnamed School,school,16.3810942,-0.045163
Unnamed School,school,16.1925958,-0.0372962
Gomitra [2e C],school,14.4171663,-8.2809572
Ecole,school,16.7105771,-0.2575296
Ecole Privée Cheikna Togola,school,12.5895439,-8.0276692
OUAOUROU,school,14.8252081,-8.3929174
AMBA I,school,14.7848445,-3.5381139
AMBA [2ème C],school,14.7848186,-3.5381408
TAPOU,school,14.8231167,-3.5690464
Ecole,school,14.355792,-3.6120263
Mamadou Tolo 1 er Cycle,school,14.3509095,-3.6056399
Lycée,school,16.2675208,-0.0433404
Ecole primaire,school,14.0950615,-2.6403813
ABANCO,school,20.035667,0.960778
KOLOMINA [1er C],school,14.4747644,-8.0244478
Matin d'Afrique,school,12.570505,-8.0683633
Lycée Karamoko Baba Traoré,school,12.5753,-8.06681
Ecole Bahadou,school,16.7690024,-3.004178
KATI Camp D,school,12.7406299,-8.0728803
Lycée Arafat,school,12.6077567,-7.9786283
BABOUGOU,school,13.7378929,-5.7400977
SIDIAN,school,13.6895874,-5.6185419
Lycée Sétou Camara,school,12.5774434,-8.0054091
AHAMBOUBAR,school,20.18,0.985
Ecole,school,12.146009,-5.421195
DIONFACOUROU,school,13.199367,-9.9252335
KAMOUNE DIAMBRE,school,15.0105634,-9.4445071
KOUNGO,school,14.9132729,-9.3677928
KASSE- KARA,school,14.8678762,-9.2699911
DIABAGUELA,school,15.0480941,-9.0140396
KOBIRI [2ème C],school,13.1189105,-9.9026929
Complexe Scolaire le Zenith,school,12.6765499,-7.9264417
BOUGARIA,school,13.2113953,-9.6173523
Ecole De Santé EFPTM,school,12.6127628,-7.9576921
complexe scolaire Donnya,school,12.6199573,-7.9493954
Centre formation integration Benena,school,13.106391,-4.3768069
KAMATINGUE,school,15.1208145,-9.3401094
Lycée Nabe Julgard Nainy,school,12.6388617,-8.0456983
GOGUI,school,15.6844873,-9.3258097
ECOLE DE FARAKO,school,11.2265235,-5.4735276
Complexe Scolaire Sambou Diarisso,school,12.6548983,-8.0425517
Groupe Scolaire Madani Traoré,school,12.6473904,-8.0335903
Prosper Kamara,school,12.6467567,-8.0341383
DJANGUINARE,school,15.4746489,-3.5971161
Farabacoungo,school,11.7581667,-8.5709
KOA,school,15.5846653,-3.6287239
Ecole Sahel 2e Cycle,school,12.4071156,-5.4611265
Institut Supérieur des Techniques Economiques Comptable et Commerciales,college,12.6194803,-8.0382029
Université CESK/CPESK,university,12.6402179,-8.0027112
second cycle,school,11.6777611,-8.6555495
premier cycle,school,11.6777119,-8.6558077
premier cycle,school,13.1293744,-8.8293895
premier cycle,school,11.6889345,-8.6942806
Medersa,school,11.6788699,-8.7136438
Ecole de Zanikampa,school,11.2751473,-5.2296612
SAREDINA [1er C]YCLE,school,14.7910255,-3.2258589
Unnamed School,kindergarten,12.1772502,-6.7179579
ECOSUP,school,12.6731944,-7.9411519
ANDJI,school,14.8440522,-3.1587813
MANKO,school,15.1507197,-3.4443223
TETE OMPTO,school,15.06,-3.484
Unnamed School,school,11.6775208,-8.6555421
AWOÏNY I,school,15.162254,-9.545848
Boulou Abeidat,school,15.2132685,-9.4606428
NOUROUDINE de KOUE BAMANAN,school,14.2672494,-5.9092986
Fondamentale Malitalia,school,12.5729752,-7.9806333
NOMO,school,15.2632584,-9.4732275
Kalifa DEMBELE,school,12.5896357,-7.9676641
Lycée El Mortar KONATE,school,12.6881218,-7.9687033
Néné Koné,school,12.6881647,-7.9685302
